BFS,0.002,327,9
IDDFS,0.0026,63,10
UCS,0.001,124,8
Greedy,0.0006,7,7
A*,0.0004,9,7
IDA*,0.0006,13,7
SHC,0.0004,6,7
SAHC,0.0004,6,7
RHC,0.0004,6,7
Beam Search,0.0011,49,7
Genetic,0.0189,350,7
RHC,0.0003,1,2
AND-OR Tree,0.0025,144,7
AND-OR Tree,0.0034,281,8
Forward,0.0009,14,9
Backtracking Search,0.0006,20,11
UCS,0.0004,4,2
Forward,0.0009,14,9
Backtracking Search,0.0005,20,11
Backtracking Search,0.0006,20,11
Backtracking Search,0.0005,20,11
Forward,0.0009,14,9
Greedy,0.0006,32,23
A*,0.0003,2,2
A*,0.0023,161,15
IDA*,0.0005,4,2
IDA*,0.0018,134,15
Greedy,0.0003,2,2
Greedy,0.0006,32,23
A*,0.0021,161,15
IDA*,0.0027,134,15
A*,0.002,161,15
Beam Search,0.0014,175,23
SHC,0.0005,10,11
SAHC,0.0005,10,11
RHC,0.0006,10,11
SAS,0.0005,10,11
Beam Search,0.0004,4,2
Beam Search,0.001,76,11
Genetic,0.0066,90,11
RHC,0.0005,10,11
Genetic,0.0193,370,11
BFS,0.0003,4,2
BFS,0.0025,425,11
Genetic,0.01,190,11
A*,0.0005,12,11
UCS,0.0052,521,11
IDDFS,0.0032,13,11
AND-OR Tree,0.011,909,11
AND-OR Tree,0.0007,29,4
AND-OR Tree,0.0173,879,11
AND-OR Tree,0.0018,52,5
AND-OR Tree,0.0006,14,4
AND-OR Tree,0.0013,43,5
AND-OR Tree,0.0018,131,7
AND-OR Tree,0.0006,21,4
AND-OR Tree,0.0005,16,3
Backtracking Search,0.0006,20,11
Forward,0.0013,14,9
BFS,0.0012,171,9
BFS,0.0009,79,7
SAHC,0.0004,5,6
RHC,0.0004,5,6
SAS,0.0004,5,6
Genetic,0.0335,625,2
Genetic,0.0096,195,6
BFS,0.0009,78,7
DFS,0.0004,2,2
BFS,0.0078,996,12
BFS,0.0049,996,12
IDDFS,0.0066,364,12
BFS,0.0047,996,12
Greedy,0.0009,61,28
Beam Search,0.0008,91,12
IDDFS,0.0068,364,12
A*,0.0063,539,12
Greedy,0.0009,61,28
A*,0.0003,2,2
Greedy,0.0009,61,28
BFS,0.0004,3,2
Greedy,0.0009,61,28
Greedy,0.0009,61,29
Greedy,0.0014,63,29
A*,0.0096,539,12
IDA*,0.0047,805,12
UCS,0.007,968,12
BFS,0.0012,124,8
A*,0.0004,2,2
A*,0.0006,10,7
RHC,0.0005,5,6
SHC,0.0006,9,10
Genetic,0.0263,385,5
AND-OR Tree,0.0003,1,1
AND-OR Tree,0.0003,1,1
AND-OR Tree,0.0017,102,6
